ts,gpu_util_pct,mem_util_pct,vram_used_MB,power_W,temp_C
1780189633.9268894,51,31,9204.16015625,188.612,66
1780189635.9408145,79,65,9204.16015625,181.538,68
1780189637.9530017,93,72,9204.16015625,173.992,66
1780189639.9656997,90,71,9204.16015625,177.661,69
1780189641.980512,66,44,9204.16015625,179.489,69
1780189643.992161,93,79,9204.16015625,183.253,68
1780189646.0067186,46,29,9204.16015625,178.661,66
1780189648.0213253,86,71,9204.16015625,181.515,68
1780189650.034635,92,75,9204.16015625,177.734,68
1780189652.0464287,71,54,9204.16015625,178.752,69
1780189654.047697,22,2,9204.16015625,178.094,65
1780189656.0625107,25,4,9658.16015625,177.129,64
1780189658.0722623,93,70,9658.16015625,190.017,66
1780189660.0801103,84,64,9658.16015625,176.765,69
1780189662.0914125,92,73,9698.16015625,189.922,65
1780189664.100605,71,55,5022.16015625,178.358,65
1780189666.1151257,70,46,5022.16015625,190.31,70
1780189668.1297293,62,48,5022.16015625,193.827,65
1780189670.1319194,63,46,5022.16015625,191.989,66
1780189672.1454246,63,52,5918.16015625,192.522,65
1780189674.16101,93,75,9152.16015625,166.934,67
1780189676.1756384,65,48,9152.16015625,186.826,63
1780189678.1911693,90,70,9152.16015625,179.033,65
1780189680.2045193,86,67,9152.16015625,179.227,69
1780189682.2169445,61,39,9152.16015625,178.124,64
1780189684.228226,79,59,9152.16015625,178.944,69
1780189686.2425485,85,71,9152.16015625,182.734,67
1780189688.257518,75,54,9152.16015625,178.888,69
1780189690.2706137,91,71,9152.16015625,191.634,66
1780189692.2852702,80,61,9152.16015625,179.02,69
1780189694.2990866,73,55,9152.16015625,186.73,66
1780189696.3120804,87,70,9152.16015625,171.461,67
1780189698.3265297,93,74,9152.16015625,179.029,69
1780189700.3411396,50,28,9152.16015625,181.38,64
1780189702.3422136,89,69,9152.16015625,186.265,66
1780189704.3576307,64,42,9152.16015625,184.818,64
1780189706.3580654,89,67,9626.16015625,180.616,66
1780189708.3709443,77,60,9626.16015625,178.737,69
1780189710.385873,66,45,9626.16015625,185.643,64
1780189712.3869438,92,74,9626.16015625,178.088,68
1780189714.3988328,75,58,9626.16015625,185.153,69
1780189716.411012,79,64,9626.16015625,179.041,67
1780189718.4221427,91,73,9626.16015625,179.94,68
1780189720.4360182,73,52,9626.16015625,186.667,64
1780189722.4497192,58,40,9626.16015625,179.989,67
1780189724.4624782,75,56,9626.16015625,181.211,65
1780189726.4765093,93,76,9626.16015625,176.226,67
1780189728.4875567,91,69,9626.16015625,173.822,66
1780189730.499994,65,45,9626.16015625,179.334,69
1780189732.5086505,89,73,9626.16015625,183.541,68
1780189734.5219045,76,54,9626.16015625,178.616,68
1780189736.536767,89,72,9626.16015625,189.561,68
1780189738.5484514,31,5,9626.16015625,179.476,65
1780189740.5596938,76,62,9626.16015625,176.345,66
1780189742.573188,93,72,9626.16015625,175.331,69
1780189744.58633,91,72,9626.16015625,175.359,65
1780189746.5988383,70,49,9626.16015625,179.326,63
1780189748.6144726,79,64,9626.16015625,184.362,70
1780189750.6345227,52,31,9626.16015625,181.118,66
1780189752.6417303,70,48,9626.16015625,176.928,68
1780189754.6524196,90,73,9626.16015625,177.739,70
1780189756.6665587,92,72,9626.16015625,181.209,65
1780189758.678597,71,58,9626.16015625,164.789,68
1780189760.690378,88,72,9626.16015625,170.393,69
1780189762.7021859,60,38,9626.16015625,184.203,66
1780189764.7171223,90,71,9626.16015625,182.896,65
1780189766.7222843,84,69,9626.16015625,185.91,70
1780189768.7492971,95,78,9626.16015625,173.898,65
1780189770.753508,94,78,9626.16015625,177.9,65
1780189772.7658694,59,39,9626.16015625,178.021,63
1780189774.7789457,56,35,9626.16015625,178.143,66
1780189776.7907717,88,71,9626.16015625,177.444,69
1780189778.803912,61,42,5022.16015625,169.45,66
1780189780.8169837,75,52,5022.16015625,186.255,67
1780189782.8292496,62,52,5022.16015625,192.275,70
1780189784.8293037,81,70,5022.16015625,195.586,66
1780189786.8303986,88,76,5022.16015625,201.526,65
1780189788.833054,73,50,8882.16015625,91.325,63
1780189790.843719,92,72,8882.16015625,188.298,66
1780189792.8581302,51,28,9792.16015625,181.041,67
1780189794.875933,63,41,9792.16015625,185.885,66
1780189796.8789337,94,79,9792.16015625,176.587,68
1780189798.891953,93,70,9792.16015625,172.996,66
1780189800.894021,50,30,9792.16015625,181.857,66
1780189802.9069374,45,30,9792.16015625,171.956,66
1780189804.9201763,69,46,9792.16015625,186.09,63
1780189806.933494,90,71,9792.16015625,188.136,65
1780189808.9450111,72,53,9792.16015625,188.241,68
1780189810.958523,50,28,9792.16015625,179.979,68
1780189812.9719853,85,64,9792.16015625,186.879,64
1780189814.9859667,82,61,9792.16015625,177.729,64
1780189816.9992237,60,42,9792.16015625,178.542,63
1780189819.0144582,67,44,9792.16015625,179.637,63
1780189821.0255923,92,71,9792.16015625,187.148,68
1780189823.0362806,57,39,9792.16015625,184.16,67
1780189825.0482874,83,64,9792.16015625,181.855,64
1780189827.059607,66,50,9792.16015625,181.662,68
1780189829.077667,85,70,9792.16015625,169.22,69
1780189831.086309,93,80,9792.16015625,176.768,69
1780189833.0999954,89,72,9792.16015625,172.275,69
1780189835.119802,69,47,9792.16015625,184.213,65
1780189837.1270747,91,73,9792.16015625,189.697,69
1780189839.1407905,56,41,9792.16015625,185.595,67
1780189841.1522634,53,42,9792.16015625,183.833,64
1780189843.1648824,74,54,9792.16015625,184.189,69
1780189845.1751156,52,30,9792.16015625,182.708,67
1780189847.1878517,43,16,9792.16015625,179.693,68
1780189849.188014,81,63,9792.16015625,187.171,64
1780189851.2001853,96,79,9792.16015625,193.096,65
1780189853.2131107,93,71,9792.16015625,190.311,67
1780189855.2253368,89,72,9792.16015625,191.49,70
1780189857.2349622,77,60,9792.16015625,188.844,69
1780189859.2469156,66,47,9792.16015625,185.686,67
1780189861.2568073,41,11,9792.16015625,189.103,68
1780189863.2676516,74,53,9792.16015625,188.631,64
1780189865.280117,97,80,9792.16015625,193.518,65
1780189867.2910855,88,67,9792.16015625,190.166,66
1780189869.3002977,90,71,9792.16015625,190.769,69
1780189871.315536,70,48,9792.16015625,186.917,68
1780189873.329091,92,73,9792.16015625,179.453,64
1780189875.3416805,77,59,9792.16015625,177.898,64
1780189877.3541906,48,30,9792.16015625,179.561,63
1780189879.365385,90,70,9792.16015625,182.476,69
1780189881.3786583,54,33,9792.16015625,187.756,66
1780189883.390979,96,79,9792.16015625,181.047,65
1780189885.401574,87,73,9792.16015625,183.936,69
1780189887.401647,75,54,9792.16015625,173.871,64
1780189889.4023347,63,40,9792.16015625,178.032,64
1780189891.4315453,92,65,5024.16015625,158.308,63
1780189893.4445827,57,38,5024.16015625,186.779,67
1780189895.4450126,66,54,5024.16015625,195.026,65
1780189897.449047,54,41,5024.16015625,201.537,70
1780189899.464044,61,40,5024.16015625,194.872,69
1780189901.47971,79,58,9164.16015625,90.333,68
1780189903.495054,53,33,9164.16015625,177.745,66
1780189905.4961734,91,73,9164.16015625,173.222,65
1780189907.5102108,90,73,9164.16015625,189.261,68
1780189909.522688,92,72,9164.16015625,188.293,68
1780189911.5349865,55,34,9164.16015625,183.291,64
